exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs,pretrained
resnet50_set16_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,16,1.0,0.5162500143051147,0.0006,100,2800,0
resnet50_set16_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,16,1.0,0.5066071152687073,0.0003,100,2800,0
resnet50_set17_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,17,1.0,0.6787499785423279,0.001,100,2800,0
resnet50_set17_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,17,1.0,0.6942856907844543,0.0006,100,2800,0
resnet50_set17_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,17,1.0,0.677142858505249,0.0003,100,2800,0
resnet50_set18_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,18,1.0,0.931071400642395,0.001,100,2800,0
resnet50_set18_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,18,1.0,0.8889285326004028,0.0006,100,2800,0
resnet50_set18_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,18,1.0,0.8298214077949524,0.0003,100,2800,0
resnet50_set19_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,19,1.0,0.5001785755157471,0.001,100,2800,0
resnet50_set19_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,19,1.0,0.5008928775787354,0.0006,100,2800,0
resnet50_set19_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,19,1.0,0.5,0.0003,100,2800,0
resnet50_set20_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,20,1.0,0.5023214221000671,0.001,100,2800,0
resnet50_set20_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,20,1.0,0.5017856955528259,0.0006,100,2800,0
resnet50_set20_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,20,1.0,0.5112500190734863,0.0003,100,2800,0
resnet50_set21_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,21,1.0,0.5071428418159485,0.001,100,2800,0
resnet50_set21_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,21,1.0,0.5144642591476439,0.0006,100,2800,0
resnet50_set21_pretrained0_lr0.0003_numtrain100_augment1_epochmult10_v0,21,1.0,0.5044642686843872,0.0003,100,2800,0
resnet50_set22_pretrained0_lr0.001_numtrain100_augment1_epochmult10_v0,22,1.0,0.5,0.001,100,2800,0
resnet50_set22_pretrained0_lr0.0006_numtrain100_augment1_epochmult10_v0,22,1.0,0.5051785707473755,0.0006,100,2800,0
